filename Total_reads Mapped_read Total_reads_minusSexAndUnknownChr Mapped_reads_minusSexAndUnknownChr
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04982-L1_S110_L007_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 3385313 3014158 3017298 2646143
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04983-L1_S111_L007_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10841805 9617893 9534126 8310214
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04984-L1_S112_L007_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 15436642 13886599 13662105 12112062
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04985-L1_S113_L007_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11032307 9863227 9758712 8589632
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04986-L1_S114_L007_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10711152 9486275 9589887 8365010
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04987-L1_S115_L007_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10537195 9397386 9283576 8143767
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04988-L1_S116_L007_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11079161 9889132 9935922 8745893
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04989-L1_S117_L007_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12250227 10809220 10843916 9402909
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04990-L1_S118_L007_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 5461107 4840701 4903998 4283592
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04991-L1_S119_L007_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9954191 8740198 8870674 7656681
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04992-L1_S120_L007_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12489186 11080876 11105481 9697171
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04993-L1_S121_L007_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12759355 11280256 11278033 9798934
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04994-L1_S122_L007_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11046568 9940915 9796134 8690481
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04995-L1_S123_L007_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12250992 10769997 10992963 9511968
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04996-L1_S124_L007_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 13226904 11719396 11773764 10266256
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04997-L1_S125_L007_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 11488586 9962604 10291083 8765101
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04998-L1_S126_L007_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 13866418 11790191 12252258 10176031
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G04999-L1_S127_L008_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9216203 7877896 8152884 6814577
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G05000-L1_S128_L008_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9304493 8183709 8266516 7145732
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G05001-L1_S129_L008_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12562750 10879933 11133162 9450345
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G05002-L1_S130_L008_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10182025 8889173 9037156 7744304
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G05003-L1_S131_L008_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 8493973 7531436 7555661 6593124
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G05004-L1_S132_L008_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10927442 9502143 9583495 8158196
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G05005-L1_S133_L008_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10367873 9121339 9211658 7965124
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G05006-L1_S134_L008_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9548964 8483235 8505004 7439275
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G05007-L1_S135_L008_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10469965 9351237 9361464 8242736
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G05008-L1_S136_L008_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12807409 11461918 11478382 10132891
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G05009-L1_S137_L008_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9657900 8634963 8506467 7483530
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G05010-L1_S138_L008_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 9599877 8518205 8453159 7371487
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G05011-L1_S139_L008_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10641209 9390201 9494805 8243797
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G05012-L1_S140_L008_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 8883710 7920614 7853127 6890031
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G05013-L1_S141_L008_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 19186152 16531952 17001223 14347023
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G05014-L1_S142_L008_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 4753938 4265043 4215049 3726154
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G05015-L1_S143_L008_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 10781637 9306752 9520645 8045760
/data/SBCS-EizaguirreLab/Alice/StickParaBroOff/Data/04BSBolt_methCall/BSBolt/Alignments/BSBoltAlignments_G05016-L1_S144_L008_R1_001_trimmed_cutadapt.fastq.gz.bam.sorted.bam 12310406 10485035 10926845 9101474
